Hours_Mins,Depth,TempInSitu,SalinityInSitu_1pCal,datetime
10:0,0.263,29.14,34.383233,2021-01-15T10:00:00Z
10:1,0.2845,29.12,34.32009178,2021-01-15T10:01:00Z
10:10,0.26366666666666666,29.2,34.03570956,2021-01-15T10:10:00Z
10:11,0.2713333333333333,29.2,34.14891525,2021-01-15T10:11:00Z
10:12,0.267,29.19,34.1260154,2021-01-15T10:12:00Z
10:13,0.26983333333333337,29.19,34.04942103,2021-01-15T10:13:00Z
10:14,0.261,29.12,34.04934909,2021-01-15T10:14:00Z
10:15,0.2733333333333333,29.06,34.04232287,2021-01-15T10:15:00Z
10:16,0.26133333333333336,28.7,33.98828768,2021-01-15T10:16:00Z
10:17,0.2813333333333333,28.76,33.99485241,2021-01-15T10:17:00Z
10:18,0.27183333333333337,28.77,33.994275879999996,2021-01-15T10:18:00Z
10:19,0.271,28.81,33.93617565,2021-01-15T10:19:00Z
10:2,0.2575,29.09,34.34162304,2021-01-15T10:02:00Z
10:20,0.2768333333333333,28.73,33.4115619,2021-01-15T10:20:00Z
10:21,0.2605,28.84,33.85900308,2021-01-15T10:21:00Z
10:22,0.254,28.79,33.88798794,2021-01-15T10:22:00Z
10:23,0.2665,28.83,33.73857144,2021-01-15T10:23:00Z
10:24,0.24766666666666667,28.9,33.70534699,2021-01-15T10:24:00Z
10:25,0.2695,29.05,33.69080796,2021-01-15T10:25:00Z
10:26,0.27749999999999997,29.04,33.730533,2021-01-15T10:26:00Z
10:27,0.253,29.19,33.84439459,2021-01-15T10:27:00Z
10:28,0.25966666666666666,29.17,33.87172293,2021-01-15T10:28:00Z
10:29,0.2925,29.19,34.04285408,2021-01-15T10:29:00Z
10:3,0.24883333333333332,29.16,34.19752693,2021-01-15T10:03:00Z
10:30,0.279,29.19,33.88062586,2021-01-15T10:30:00Z
10:31,0.25116666666666665,29.24,33.87165613,2021-01-15T10:31:00Z
10:32,0.26266666666666666,29.43,33.62329638,2021-01-15T10:32:00Z
10:33,0.27266666666666667,29.25,33.788899549999996,2021-01-15T10:33:00Z
10:34,0.25983333333333336,29.16,32.7441798,2021-01-15T10:34:00Z
10:35,0.25566666666666665,29.22,32.84066771,2021-01-15T10:35:00Z
10:36,0.275,29.3,33.59679284,2021-01-15T10:36:00Z
10:37,0.26016666666666666,29.3,32.97461179,2021-01-15T10:37:00Z
10:38,0.24633333333333335,29.27,32.92579364,2021-01-15T10:38:00Z
10:39,0.269,29.31,32.9392988,2021-01-15T10:39:00Z
10:4,0.2851666666666667,29.15,34.20132235,2021-01-15T10:04:00Z
10:40,0.2675,29.24,33.95761868,2021-01-15T10:40:00Z
10:41,0.2445,29.27,33.72560305,2021-01-15T10:41:00Z
10:42,0.26116666666666666,29.31,33.57675347,2021-01-15T10:42:00Z
10:43,0.289,29.36,33.71489507,2021-01-15T10:43:00Z
10:44,0.2593333333333333,29.36,33.72470698,2021-01-15T10:44:00Z
10:45,0.25483333333333336,29.38,33.68449362,2021-01-15T10:45:00Z
10:46,0.2583333333333333,29.36,33.63311042,2021-01-15T10:46:00Z
10:47,0.26866666666666666,29.37,33.52836716,2021-01-15T10:47:00Z
10:48,0.27266666666666667,29.37,33.5967048,2021-01-15T10:48:00Z
10:49,0.2685,29.42,33.76138659,2021-01-15T10:49:00Z
10:5,0.26616666666666666,29.16,34.17743471,2021-01-15T10:05:00Z
10:50,0.25883333333333336,29.39,33.6611273,2021-01-15T10:50:00Z
10:51,0.24866666666666667,29.39,33.64476371,2021-01-15T10:51:00Z
10:52,0.27216666666666667,29.38,33.67794181,2021-01-15T10:52:00Z
10:53,0.26866666666666666,29.42,33.6662824,2021-01-15T10:53:00Z
10:54,0.2445,29.43,33.65928245,2021-01-15T10:54:00Z
10:55,0.26166666666666666,29.39,33.64800906,2021-01-15T10:55:00Z
10:56,0.2713333333333333,29.41,33.65360649,2021-01-15T10:56:00Z
10:57,0.24133333333333334,29.39,33.55343949,2021-01-15T10:57:00Z
10:58,0.24066666666666667,29.37,33.56741046,2021-01-15T10:58:00Z
10:59,0.2615,29.43,33.49302942,2021-01-15T10:59:00Z
10:6,0.26183333333333336,29.17,34.13355998,2021-01-15T10:06:00Z
10:7,0.2683333333333333,29.19,34.0860303,2021-01-15T10:07:00Z
10:8,0.2815,29.19,34.09932629,2021-01-15T10:08:00Z
10:9,0.26116666666666666,29.19,34.07274139,2021-01-15T10:09:00Z
11:0,0.247,29.43,33.43153557,2021-01-15T11:00:00Z
11:1,0.24133333333333334,29.38,33.50191547,2021-01-15T11:01:00Z
11:10,0.2665,29.11,33.66829391,2021-01-15T11:10:00Z
11:11,0.2693333333333333,29.11,33.71719988,2021-01-15T11:11:00Z
11:12,0.248,29.09,33.7411537,2021-01-15T11:12:00Z
11:13,0.261,29.1,33.75047427,2021-01-15T11:13:00Z
11:14,0.25833333333333336,29.08,33.78096228,2021-01-15T11:14:00Z
11:15,0.27016666666666667,29.06,33.77870692,2021-01-15T11:15:00Z
11:16,0.2535,29.06,33.77210157,2021-01-15T11:16:00Z
11:17,0.24333333333333332,29.03,33.81630285,2021-01-15T11:17:00Z
11:18,0.26166666666666666,29.04,33.80923309,2021-01-15T11:18:00Z
11:19,0.25566666666666665,29,33.84732665,2021-01-15T11:19:00Z
11:2,0.26916666666666667,29.39,33.43987358,2021-01-15T11:02:00Z
11:20,0.25816666666666666,28.97,33.87520927,2021-01-15T11:20:00Z
11:21,0.2685,28.99,33.86103317,2021-01-15T11:21:00Z
11:22,0.27166666666666667,29,33.84733292,2021-01-15T11:22:00Z
11:23,0.2841666666666667,28.99,33.85441893,2021-01-15T11:23:00Z
11:24,0.25966666666666666,28.95,33.88940584,2021-01-15T11:24:00Z
11:25,0.279,28.94,33.86038552,2021-01-15T11:25:00Z
11:26,0.29483333333333334,28.9,33.8723343,2021-01-15T11:26:00Z
11:27,0.2803333333333333,28.9,33.90521502,2021-01-15T11:27:00Z
11:28,0.2765,28.9,33.9348304,2021-01-15T11:28:00Z
11:29,0.2803333333333333,28.92,33.90744858,2021-01-15T11:29:00Z
11:3,0.26483333333333337,29.38,33.58327049,2021-01-15T11:03:00Z
11:30,0.2775,29.09,33.81329126,2021-01-15T11:30:00Z
11:31,0.26616666666666666,28.82,33.95222534,2021-01-15T11:31:00Z
11:32,0.26233333333333336,28.87,33.91010088,2021-01-15T11:32:00Z
11:33,0.2775,28.88,33.94243402,2021-01-15T11:33:00Z
11:34,0.277,28.89,33.90570376,2021-01-15T11:34:00Z
11:35,0.2748333333333334,28.87,33.92982983,2021-01-15T11:35:00Z
11:36,0.275,28.88,33.94571205,2021-01-15T11:36:00Z
11:37,0.2895,28.88,33.93253661,2021-01-15T11:37:00Z
11:38,0.2793333333333333,28.89,33.91561488,2021-01-15T11:38:00Z
11:39,0.26916666666666667,28.88,33.91609275,2021-01-15T11:39:00Z
11:4,0.24666666666666667,29.3,33.5936094,2021-01-15T11:04:00Z
11:40,0.28833333333333333,28.89,33.94851038,2021-01-15T11:40:00Z
11:41,0.27183333333333337,28.94,33.98550486,2021-01-15T11:41:00Z
11:42,0.26283333333333336,29.05,33.95029953,2021-01-15T11:42:00Z
11:43,0.28500000000000003,29.05,33.97340688,2021-01-15T11:43:00Z
11:44,0.2881666666666667,29.03,33.98100627,2021-01-15T11:44:00Z
11:45,0.26916666666666667,29.03,34.00086162,2021-01-15T11:45:00Z
11:46,0.2846666666666667,29.03,34.01410026,2021-01-15T11:46:00Z
11:47,0.31516666666666665,28.95,34.01807527,2021-01-15T11:47:00Z
11:48,0.277,28.94,33.99550778,2021-01-15T11:48:00Z
11:49,0.288,28.97,33.97080231,2021-01-15T11:49:00Z
11:5,0.25616666666666665,29.26,33.57278888,2021-01-15T11:05:00Z
11:50,0.301,28.98,33.95707067,2021-01-15T11:50:00Z
11:51,0.2836666666666667,28.98,33.99345543,2021-01-15T11:51:00Z
11:52,0.288,28.98,33.95707485,2021-01-15T11:52:00Z
11:53,0.30366666666666664,28.95,33.95862368,2021-01-15T11:53:00Z
11:54,0.29083333333333333,28.99,33.9104294,2021-01-15T11:54:00Z
11:55,0.30383333333333334,28.97,33.90821042,2021-01-15T11:55:00Z
11:56,0.30633333333333335,28.98,33.9142667,2021-01-15T11:56:00Z
11:57,0.3165,29,33.95937878,2021-01-15T11:57:00Z
11:58,0.31566666666666665,29.01,33.91274664,2021-01-15T11:58:00Z
11:59,0.30283333333333334,29,33.95938297,2021-01-15T11:59:00Z
11:6,0.2991666666666667,29.24,33.554256,2021-01-15T11:06:00Z
11:7,0.28883333333333333,29.21,33.59158228,2021-01-15T11:07:00Z
11:8,0.28,29.17,33.60988535,2021-01-15T11:08:00Z
11:9,0.2755,29.15,33.63367546,2021-01-15T11:09:00Z
12:0,0.32033333333333336,29.03,33.91170381,2021-01-15T12:00:00Z
12:1,0.31216666666666665,29.05,33.90739729,2021-01-15T12:01:00Z
12:10,0.31233333333333335,29.25,33.88465233,2021-01-15T12:10:00Z
12:11,0.30116666666666664,29.26,33.87758924,2021-01-15T12:11:00Z
12:12,0.31066666666666665,29.21,33.91953588,2021-01-15T12:12:00Z
12:13,0.31216666666666665,29.12,33.95682316,2021-01-15T12:13:00Z
12:14,0.32283333333333336,29.12,33.97999239,2021-01-15T12:14:00Z
12:15,0.33333333333333337,29.27,33.85068975,2021-01-15T12:15:00Z
12:16,0.32,29.32,33.80561573,2021-01-15T12:16:00Z
12:17,0.32233333333333336,29.31,33.81266174,2021-01-15T12:17:00Z
12:18,0.30816666666666664,29.32,33.7891322,2021-01-15T12:18:00Z
12:19,0.30983333333333335,29.36,33.78404272,2021-01-15T12:19:00Z
12:2,0.2775,29.06,33.9003099,2021-01-15T12:02:00Z
12:20,0.31383333333333335,29.35,33.73516965,2021-01-15T12:20:00Z
12:21,0.32366666666666666,29.37,33.72769606,2021-01-15T12:21:00Z
12:22,0.32716666666666666,29.38,33.72400696,2021-01-15T12:22:00Z
12:23,0.3045,29.37,33.80663226,2021-01-15T12:23:00Z
12:24,0.3115,29.31,33.79294104,2021-01-15T12:24:00Z
12:25,0.32033333333333336,29.31,33.8455745,2021-01-15T12:25:00Z
12:26,0.31483333333333335,29.12,33.93703352,2021-01-15T12:26:00Z
12:27,0.30433333333333334,29.31,33.8521585,2021-01-15T12:27:00Z
12:28,0.31733333333333336,29.37,33.87587866,2021-01-15T12:28:00Z
12:29,0.31516666666666665,29.41,33.85101787,2021-01-15T12:29:00Z
12:3,0.31183333333333335,29.1,33.90826795,2021-01-15T12:03:00Z
12:30,0.31433333333333335,29.43,33.83028239,2021-01-15T12:30:00Z
12:31,0.3328333333333333,29.46,33.7927372,2021-01-15T12:31:00Z
12:32,0.32133333333333336,29.43,33.83028654,2021-01-15T12:32:00Z
12:33,0.32366666666666666,29.32,33.88801858,2021-01-15T12:33:00Z
12:34,0.3305,29.48,33.83143139,2021-01-15T12:34:00Z
12:35,0.32066666666666666,29.52,33.73088667,2021-01-15T12:35:00Z
12:36,0.3285,29.49,33.75847775,2021-01-15T12:36:00Z
12:37,0.325,29.41,33.80479342,2021-01-15T12:37:00Z
12:38,0.33616666666666667,29.38,33.7732582,2021-01-15T12:38:00Z
12:39,0.3443333333333333,29.58,33.77773496,2021-01-15T12:39:00Z
12:4,0.30466666666666664,29.1,33.88845063,2021-01-15T12:04:00Z
12:40,0.32483333333333336,29.59,33.76740964,2021-01-15T12:40:00Z
12:41,0.3275,29.58,33.74151703,2021-01-15T12:41:00Z
12:42,0.37033333333333335,29.64,33.69953939,2021-01-15T12:42:00Z
12:43,0.32666666666666666,29.65,33.64985805,2021-01-15T12:43:00Z
12:44,0.33266666666666667,29.65,33.69586763,2021-01-15T12:44:00Z
12:45,0.35383333333333333,29.64,33.22196352,2021-01-15T12:45:00Z
12:46,0.3473333333333333,29.6,33.23987884,2021-01-15T12:46:00Z
12:47,0.3476666666666667,29.39,33.37551273,2021-01-15T12:47:00Z
12:48,0.3501666666666667,29.55,33.65412491,2021-01-15T12:48:00Z
12:49,0.33616666666666667,29.52,33.68820206,2021-01-15T12:49:00Z
12:5,0.301,29.08,33.88288574,2021-01-15T12:05:00Z
12:50,0.37533333333333335,29.65,33.64002783,2021-01-15T12:50:00Z
12:51,0.3616666666666667,29.65,33.66625352,2021-01-15T12:51:00Z
12:52,0.367,29.54,33.70049642,2021-01-15T12:52:00Z
12:53,0.378,29.77,33.60560423,2021-01-15T12:53:00Z
12:54,0.3745,29.69,33.62198936,2021-01-15T12:54:00Z
12:55,0.33816666666666667,29.41,33.74897711,2021-01-15T12:55:00Z
12:56,0.3595,29.49,33.75851915,2021-01-15T12:56:00Z
12:57,0.37433333333333335,29.76,33.65195827,2021-01-15T12:57:00Z
12:58,0.3476666666666667,29.59,33.73123305,2021-01-15T12:58:00Z
12:59,0.36,29.71,33.66385204,2021-01-15T12:59:00Z
12:6,0.2835,29.09,33.91201217,2021-01-15T12:06:00Z
12:7,0.33516666666666667,29.06,33.96309195,2021-01-15T12:07:00Z
12:8,0.312,29.14,33.89315676,2021-01-15T12:08:00Z
12:9,0.30516666666666664,29.08,34.01836396,2021-01-15T12:09:00Z
13:0,0.377,29.58,33.72183401,2021-01-15T13:00:00Z
13:1,0.33283333333333337,29.65,33.71228524,2021-01-15T13:01:00Z
13:10,0.394,29.22,33.87293815,2021-01-15T13:10:00Z
13:11,0.36483333333333334,29.42,33.89363277,2021-01-15T13:11:00Z
13:12,0.3625,29.39,33.91480161,2021-01-15T13:12:00Z
13:13,0.4171666666666667,29.33,33.91078289,2021-01-15T13:13:00Z
13:14,0.37933333333333336,29.6,33.82322051,2021-01-15T13:14:00Z
13:15,0.3685,29.8,33.75912862,2021-01-15T13:15:00Z
13:16,0.3745,29.85,33.69452329,2021-01-15T13:16:00Z
13:17,0.39666666666666667,29.73,33.74532369,2021-01-15T13:17:00Z
13:18,0.37333333333333335,29.73,33.72225906,2021-01-15T13:18:00Z
13:19,0.368,29.79,33.65735728,2021-01-15T13:19:00Z
13:2,0.36416666666666664,29.55,33.74284849,2021-01-15T13:02:00Z
13:20,0.36983333333333335,29.77,33.65486281,2021-01-15T13:20:00Z
13:21,0.38266666666666665,29.63,33.68690913,2021-01-15T13:21:00Z
13:22,0.3745,29.53,33.70755873,2021-01-15T13:22:00Z
13:23,0.4058333333333333,29.6,33.68485982,2021-01-15T13:23:00Z
13:24,0.38066666666666665,29.5,33.6990446,2021-01-15T13:24:00Z
13:25,0.375,29.65,33.64010002,2021-01-15T13:25:00Z
13:26,0.3825,29.65,33.59428567,2021-01-15T13:26:00Z
13:27,0.39516666666666667,29.7,33.52034391,2021-01-15T13:27:00Z
13:28,0.36966666666666664,29.77,33.5108745,2021-01-15T13:28:00Z
13:29,0.38916666666666666,29.76,33.39742891,2021-01-15T13:29:00Z
13:3,0.38783333333333336,29.64,33.69626992,2021-01-15T13:03:00Z
13:30,0.37933333333333336,29.75,33.38159223,2021-01-15T13:30:00Z
13:31,0.38266666666666665,29.75,33.37517023,2021-01-15T13:31:00Z
13:32,0.4036666666666667,29.8,33.29217443,2021-01-15T13:32:00Z
13:33,0.42083333333333334,29.77,33.27085773,2021-01-15T13:33:00Z
13:34,0.3646666666666667,29.77,33.22896566,2021-01-15T13:34:00Z
13:35,0.41133333333333333,29.75,33.14324093,2021-01-15T13:35:00Z
13:36,0.4245,29.8,33.08974171,2021-01-15T13:36:00Z
13:37,0.37466666666666665,29.81,33.04774801,2021-01-15T13:37:00Z
13:38,0.37833333333333335,29.77,32.95419551,2021-01-15T13:38:00Z
13:39,0.4073333333333333,29.7,32.93843473,2021-01-15T13:39:00Z
13:4,0.3645,29.49,33.79481955,2021-01-15T13:04:00Z
13:40,0.3845,29.87,33.74992882,2021-01-15T13:40:00Z
13:41,0.3813333333333333,30.06,33.68370826,2021-01-15T13:41:00Z
13:42,0.40149999999999997,30.34,33.55925666,2021-01-15T13:42:00Z
13:43,0.40149999999999997,30.46,33.46032012,2021-01-15T13:43:00Z
13:44,0.38933333333333336,30.89,33.34057187,2021-01-15T13:44:00Z
13:45,0.4091666666666667,31.15,33.23988286,2021-01-15T13:45:00Z
13:46,0.39916666666666667,31.26,33.19518093,2021-01-15T13:46:00Z
13:47,0.39,31.48,33.0737357,2021-01-15T13:47:00Z
13:48,0.3815,31.4,32.8837524,2021-01-15T13:48:00Z
13:49,0.4115,31.73,32.66223181,2021-01-15T13:49:00Z
13:5,0.36033333333333334,29.36,33.81700015,2021-01-15T13:05:00Z
13:50,0.38416666666666666,31.82,32.53603605,2021-01-15T13:50:00Z
13:51,0.38583333333333336,31.83,32.50080691,2021-01-15T13:51:00Z
13:52,0.42925,31.87,32.44285616,2021-01-15T13:52:00Z
13:6,0.38283333333333336,29.33,33.85138195,2021-01-15T13:06:00Z
13:7,0.378,29.25,33.81880983,2021-01-15T13:07:00Z
13:8,0.3535,29.22,33.87293399,2021-01-15T13:08:00Z
13:9,0.37366666666666665,29.22,33.84991284,2021-01-15T13:09:00Z
9:55,-0.005333333333333333,29.14,34.75444554,2021-01-15T09:55:00Z
9:56,0.25283333333333335,29.17,34.48010693,2021-01-15T09:56:00Z
9:57,0.271,29.14,34.43399139,2021-01-15T09:57:00Z
9:58,0.2935,29.15,34.34913318,2021-01-15T09:58:00Z
9:59,0.2655,29.12,34.39760437,2021-01-15T09:59:00Z
